Problem Name	Problem Link	Question Statement	Time Complexity	Memory Complexity	Question	A	B	C	D	Correct	Half-Points	Link To Correct Answer	Message Response For A	Message Response For B	Message Response For C	Message Response For D	Bogan's Brute Force!!!
Flip Equivalent Binary Trees	LeetCode 951	For a binary tree T, we can define a flip operation as follows: choose any node, and swap the left and right child subtrees.  A binary tree X is flip equivalent to a binary tree Y if and only if we can make X equal to Y after some number of flip operations.  Given the roots of two binary trees root1 and root2, return true if the two trees are flip equivalent or false otherwise.	O(n)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(n)?	Inorder and Postorder Traversal + Comparison	HSO Algorithm	Canonical Parenthesis Representation	Parallel Traversal + Comparison	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/951.%20Flip%20Equivalent%20Binary%20Trees.cpp	This approach is incorrect because two trees can have different shapes but still be flip equivalent!	D'oh!  This stands for 'Homer Simpson Optimization' Algorithm, which looks for the laziest and most inefficient solution to the problem.  This won't deduct any points…for now!  Perfect for those who look at a problem and think 'Can't someone else do it?'	Correct!  The method constructs a string representation of the binary tree for each input tree by performing a canonical parenthetical traversal. This traversal ensures that subtrees with the same structure are represented in the same way. The method then compares the two string representations for equality to determine if the two trees are flip equivalent. The time complexity of the method is O(N), where N is the number of nodes in the larger tree, as each node is visited once during the traversal. The memory complexity is O(N) for storing the string representation of the tree.	This approach is inferior because it is more complex than the solution provided, which simply compares the canonical representations of the trees. Additionally, this approach may not terminate if the trees are not flip equivalent.	A simple brute force approach to solve this problem would be to check if the roots of the two given trees are either equal or symmetric. If they are, then we recursively check if their left and right subtrees are flip equivalent. If both subtrees are flip equivalent, then we return true, otherwise we return false.  This approach has a time complexity of O(n^2) in the worst case, where n is the number of nodes in the tree. This is because we may need to check each node of one tree against each node of the other tree.
Lowest Common Ancestor of a Binary Tree	LeetCode 236	Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree.  According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”	O(n)	O(h)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(h)?	Traversal + Two Arrays	Recursive Approach	Node-by-node calculation	Convert into a BST	B	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/236.%20Lowest%20Common%20Ancestor%20of%20a%20Binary%20Tree.cpp	This approach has a time complexity of O(n^2) in the worst case (when the two nodes are the farthest apart in the tree) and requires O(n) extra space to store the two arrays.	Correct!   It checks if the root is NULL or if the root is either p or q, and if so, it returns the root. Then it recursively checks for the lowest common ancestor in the left and right subtrees of the root. The final result is the root itself if both left and right subtrees have non-null values, left subtree if left is non-null, and right subtree if right is non-null. The time complexity of this algorithm is O(n), where n is the number of nodes in the binary tree.	For each node in the tree, calculate the distance from the node to both p and q, and keep track of the node with the smallest sum of distances   This approach has a time complexity of O(n^2) in the worst case (when the two nodes are the farthest apart in the tree), as for each node in the tree we need to traverse to p and q, and a space complexity of O(1) as we are not storing any additional data structures.	This approach is incorrect as it can modify the structure of the original binary tree, which would result in an incorrect lowest common ancestor. Additionally, it's not always possible to convert a binary tree to a binary search tree without changing the structure of the tree.	A simple brute force approach to finding the lowest common ancestor of two nodes in a binary tree is to perform a post-order traversal of the tree. For each node encountered during the traversal, check if the node is either p or q. If the node is either p or q, return the node. If the node is not p or q, check if both p and q are descendants of the node. If so, return the node. If not, continue traversing the tree until a node is found that satisfies one of the previous conditions. If no such node is found, return null.  The time complexity of this approach is O(n^2) in the worst case, where n is the number of nodes in the tree. This is because in the worst case, the algorithm may traverse the entire tree for each node encountered during the traversal. The space complexity of this approach is O(h), where h is the height of the tree, due to the use of a call stack during the traversal.
Lowest Common Ancestor of a Binary Tree III	LeetCode 1650	Given two nodes of a binary tree p and q, return their lowest common ancestor (LCA).  Each node will have a reference to its parent node. The definition for Node is below:  class Node {     public int val;     public Node left;     public Node right;     public Node parent; } According to the definition of LCA on Wikipedia: "The lowest common ancestor of two nodes p and q in a tree T is the lowest node that has both p and q as descendants (where we allow a node to be a descendant of itself)."	O(h)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(h) and memory complexity of O(1)?	Traversal + Set	Level-order Traversal	Recursive Traversal	Simple Traversal Of the Parent Pointers	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/1650.%20Lowest%20Common%20Ancestor%20of%20a%20Binary%20Tree%20III.cpp	Starting from one of the nodes, traverse up the parent node chain until reaching the root node, and store all visited nodes in a set. Then, starting from the other node, traverse up the parent node chain, checking if any of the visited nodes have already been encountered. Return the first encountered node  This approach requires additional memory to store the visited nodes, and may have a worst-case time complexity of O(n) when the binary tree is degenerate, resulting in a long parent chain for one of the nodes.	Perform a level-order traversal on the binary tree, and check each level to see if both nodes are present. When the nodes are not present on the same level, return the previously seen level's common ancestor.#   This approach is inefficient, as it requires checking all nodes in the binary tree, and it may also require additional storage to keep track of the previously seen level's common ancestor.	Starting from the root node, recursively traverse the binary tree while maintaining a path for both nodes. Return the deepest common node in the path   This approach has a time complexity of O(n^2) in the worst case scenario where the binary tree is unbalanced, and the two nodes are on opposite sides of the tree.	Correct!   Starting from the given nodes, we traverse their respective parent pointers until we reach a common node, which is the lowest common ancestor (LCA) of the two nodes.  Complexity: Time complexity is O(h) where h is the height of the tree. Space complexity is O(1).	A simple brute force approach for finding the lowest common ancestor of two nodes in a binary tree with parent pointers is as follows:  Start from node p and traverse up to its root by following its parent pointers, and store all the nodes visited in a hash set. Start from node q and traverse up to its root by following its parent pointers. At each step, check if the current node is present in the hash set of nodes visited in step 1. If it is, then this is the lowest common ancestor. If the root is reached in step 2 without finding the lowest common ancestor, repeat the same process by starting from node q and traversing up to its root, and storing the visited nodes in a hash set. Then, start from node p and traverse up to its root, checking at each step if the current node is present in the hash set of nodes visited in step 2. This approach has a time complexity of O(h) where h is the height of the tree, since in the worst case we may need to traverse up to the root twice. The space complexity is also O(h) since we store the visited nodes in hash sets.
Intersection of Two Linked Lists	LeetCode 160	Given the heads of two singly linked-lists headA and headB, return the node at which the two lists intersect. If the two linked lists have no intersection at all, return null.  The test cases are generated such that there are no cycles anywhere in the entire linked structure.  Note that the linked lists must retain their original structure after the function returns.   The inputs to the judge are given as follows (your program is not given these inputs):  intersectVal - The value of the node where the intersection occurs. This is 0 if there is no intersected node. listA - The first linked list. listB - The second linked list. skipA - The number of nodes to skip ahead in listA (starting from the head) to get to the intersected node. skipB - The number of nodes to skip ahead in listB (starting from the head) to get to the intersected node. The judge will then create the linked structure based on these inputs and pass the two heads, headA and headB to your program. If you correctly return the intersected node, then your solution will be accepted.	O(n+m)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n+m) and memory complexity of O(1)?  (**NOTE** There are multiple alternatives too!)	Traversal + Arrays	Traversal+ Direct Comparison	Traversal + Hash Set	Two Pointers	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/160.%20Intersection%20of%20Two%20Linked%20Lists.cpp	In this approach, we create two pointers, one for each linked list, and iterate over them until they meet. To ensure that both pointers have traveled the same distance when they collide, we reset a pointer to the head of the opposite list when it reaches the end of its own list. This allows us to find the intersection point of the two linked lists in O(m + n) time, where m and n are the lengths of the linked lists. This approach requires O(n) space complexity and is suboptimal compared to the O(1) space complexity required by the correct solution.	This approach has a time complexity of O(n^2), which is inefficient for large linked lists.	The idea is that we traverse linked list A and store all the node addresses in a hash set. Then, traverse linked list B and for each node, check if it exists in the hash set. This approach requires O(n) space complexity and is suboptimal compared to the O(1) space complexity required by the correct solution. Additionally, it also requires two passes through the linked lists, whereas the correct solution only requires one pass.	Correct!  In this approach, we create two pointers, one for each linked list, and iterate over them until they meet. To ensure that both pointers have traveled the same distance when they collide, we reset a pointer to the head of the opposite list when it reaches the end of its own list. This allows us to find the intersection point of the two linked lists in O(m + n) time, where m and n are the lengths of the linked lists.	One simple brute force approach to solving this problem is to traverse through both linked lists and compare each node of the first list with every node of the second list until a matching node is found. However, this approach would have a time complexity of O(mn) where m and n are the lengths of the two linked lists, which is not efficient.  A more optimized approach would be to first find the lengths of both linked lists, and then traverse the longer linked list by the difference in lengths between the two lists to reach the starting point of the intersection. Then, both linked lists can be traversed together until a matching node is found. This approach has a time complexity of O(m+n), which is more efficient.
Lowest Common Ancestor of a Binary Search Tree	LeetCode 235	Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST.  According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”	O(h)	O(h)	Which of the following approaches will most efficiently yield a solution of time complexity O(h) and memory complexity of O(h)?	Simpe Parent Pointer Usage	Inorder Traversal while Storing the Path	Iterative Approach	Recursive Approach	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/235.%20Lowest%20Common%20Ancestor%20of%20a%20Binary%20Search%20Tree.cpp	This approach involves storing parent pointers for each node in the tree and then traversing from p and q to their respective root nodes, and then finding the first common node between the two paths.  This is suboptimal because it requires additional space to store the parent pointers, making it less memory-efficient. It also has a time complexity of O(h), where h is the height of the tree, which is similar to the recursive approach but with the additional space requirement.	This approach involves storing the paths from root to p and root to q, then finding the last common node in the paths.  It's suboptimal because it has a time complexity of O(n) and a space complexity of O(n), making it less efficient than the recursive approach.	This approach involves iterating through the tree and checking each node to find the LCA. This approach has a higher time complexity than the recursive approach and is also more complex to implement.  This approach is suboptimal because the time complexity can be as high as O(n) in the worst case scenario where the tree is skewed, making the algorithm inefficient.	Correct!   The method traverses the tree recursively to find the LCA of the given two nodes in the BST. The algorithm starts at the root of the tree and checks if the root is either p or q or null. If any of these conditions are true, the root is returned.  Next, the algorithm searches for p and q in the left and right subtrees of the root. If both p and q are found in the left and right subtrees, then the current root is the LCA. If only p or q is found, the search continues in that subtree.  This approach has a time complexity of O(h), where h is the height of the tree, and a space complexity of O(h) due to the recursion stack.	A brute force approach to finding the lowest common ancestor of two nodes in a binary search tree is to traverse the tree from the root node to each of the given nodes to find their paths, then compare the paths to find the lowest common ancestor. Here are the steps:  Traverse the tree from the root node to the first given node, storing the path in an array or a stack. Traverse the tree from the root node to the second given node, storing the path in another array or stack. While the two paths have the same node at the top, pop the top node from both paths. The last common node is the lowest common ancestor. This approach has a time complexity of O(n), where n is the number of nodes in the tree.
Binary Search Tree Iterator	LeetCode 173	Implement the BSTIterator class that represents an iterator over the in-order traversal of a binary search tree (BST):  BSTIterator(TreeNode root) Initializes an object of the BSTIterator class. The root of the BST is given as part of the constructor. The pointer should be initialized to a non-existent number smaller than any element in the BST. boolean hasNext() Returns true if there exists a number in the traversal to the right of the pointer, otherwise returns false. int next() Moves the pointer to the right, then returns the number at the pointer. Notice that by initializing the pointer to a non-existent smallest number, the first call to next() will return the smallest element in the BST.  You may assume that next() calls will always be valid. That is, there will be at least a next number in the in-order traversal when next() is called.	O(1)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(1) and memory complexity of O(n)?	Depth-first Traversal	Breadth-first Traversal 	Inorder Traversal With A Stack	Pre-order Traversal with a Stack	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/173.%20Binary%20Search%20Tree%20Iterator.cpp	 Traverses a Binary Search Tree in O(n) time complexity and O(h) space complexity using recursion or a stack	Traverses a Binary Search Tree in O(n) time complexity and O(n) space complexity using a queue to visit the nodes level by level	Correct!  My algorithm initializes the iterator with the root of the BST and pushes all the nodes of the left chain of the root onto the stack. The next() function pops the top node from the stack, and if its right child is not null, pushes all the nodes of its left chain onto the stack. It then returns the value of the popped node. The hasNext() function checks whether the stack is empty or not.  The time complexity is is O(1) for both next() and hasNext() operations in the average case. The space complexity is O(h), where h is the height of the BST, because at most h nodes can be in the stack at any given time. However, in the worst case scenario, where the tree is completely unbalanced, the space complexity can go up to O(n), where n is the number of nodes in the BST.	Iterates over a Binary Search Tree in O(1) time complexity and O(h) space complexity using a stack, but does not follow the order of the BST.   Although it works for traversing the entire tree, it does not provide the values in sorted order as required by the problem.	The brute force approach for implementing the BSTIterator class would be to perform an in-order traversal of the given binary search tree (BST) and store the elements in a list. The hasNext() method would then simply check if there are any remaining elements in the list, and the next() method would return the next element in the list and move the pointer to the right.  However, this approach would not satisfy the requirement of O(h) memory, where h is the height of the BST. To meet this requirement, we can use a stack to simulate the in-order traversal of the BST. We start by pushing all the left nodes onto the stack. The hasNext() method would then check if the stack is empty, and the next() method would pop the top node from the stack, add its right subtree's left nodes onto the stack, and return the popped node's value.
Recover Binary Search Tree	LeetCode 99	You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	In-order Traversal with a Stack	Morris Traversal	Breadth-first Traversal 	Depth-first Traversal 	B	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/99.%20Recover%20Binary%20Search%20Tree.cpp	Traverses the tree in O(n) time complexity and O(h) space complexity using a stack to keep track of visited nodes.  Although it is a valid approach, it uses extra space and is not optimal when the tree is very large.	Correct!   Well spotted!  Morris Traversal is a space-efficient method to traverse a binary tree in O(n) time complexity without using a stack or recursion. The algorithm uses threading, which means it modifies the structure of the tree temporarily to reduce the space complexity of the traversal.  To recover the Binary Search Tree, you're using Morris Traversal to traverse the tree and checking if the current node's value is less than the previous node's value.  The time complexity of your algorithm is O(n) because you're traversing each node of the tree only once. The space complexity is O(1) because you're not using any extra space except for three pointers	Traverses the tree in O(n) time complexity and O(n) space complexity using a queue to visit the nodes level by level.   Although it works for traversing the entire tree, it does not efficiently identify the two swapped nodes and thus requires further processing.	Although it is a common approach for tree traversal, it does not allow us to identify the two swapped nodes without additional processing, making it less efficient.  Traverses the tree in O(n) time complexity and O(h) space complexity using recursion or a stack	A brute force approach to recover the BST would be to perform an in-order traversal of the tree and store the nodes in an array. Since in-order traversal of a BST returns the nodes in non-descending order, any two swapped nodes would appear in the array in an incorrect order. We can then identify the misplaced nodes by comparing each node with its next node in the array, and swap their values to recover the tree.  However, this approach requires O(n) space to store the nodes in the array, where n is the number of nodes in the tree. A better approach would be to perform the in-order traversal of the tree recursively and keep track of the previous node visited. If at any point, the value of the current node is less than the value of the previous node, we have found a misplaced pair of nodes. We can then swap their values to recover the tree.  This approach has O(1) space complexity and O(n) time complexity, where n is the number of nodes in the tree.
Binary Tree Maximum Path Sum	LeetCode 124	A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root.  The path sum of a path is the sum of the node's values in the path.  Given the root of a binary tree, return the maximum path sum of any non-empty path.	O(n)	O(h)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(h)?	Depth-First Search With Memoization	Recursive Traversal	Breadth-First Search	Kadane's Algorithm for Trees	D	B	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/124.%20Binary%20Tree%20Maximum%20Path%20Sum.cpp	Theoretically, we can traverse the tree with DFS, and memoize the maximum path sum for each node.  The time complexity is nice, but we need additional space for the memoization - which would O(n) rather than O(h)	This approach is overly naïve.  It would mean traversing each node multiple time, yield a time complexity of O(n^2).  Technically, the Kadane's Algorithm for Trees is recursive too…so half points are awarded here	BFS could also yield a time complexity of O(N), but we'd need additional space to store the maximum sum path for each level	Correct!  This uses a recursive approach that traverses the tree and calculates the maximum sum path passing through each node and the maximum sum path starting from each node. It uses the Kadane's algorithm to calculate the maximum sum path starting from each node, and combines it with the tree diameter problem to calculate the maximum sum path passing through each node. The time complexity of this algorithm is O(N), where N is the number of nodes in the tree, and the space complexity is O(H), where H is the height of the tree, due to the recursion stack.	A brute force approach to solving this problem would be to traverse every possible path in the binary tree and compute its path sum, keeping track of the maximum path sum seen so far.  We can traverse every possible path in the binary tree using a recursive function that starts at the root node and explores both its left and right subtrees. At each node, we compute the path sum of the path that includes that node by adding its value to the maximum path sum of its left and right subtrees. We then compare this path sum to the maximum path sum seen so far and update it if necessary.  The time complexity of this approach is O(n^2), where n is the number of nodes in the binary tree, because we potentially visit every node in the tree for every other node in the tree. However, we can optimize this approach by computing the maximum path sum for each node in a bottom-up manner and keeping track of the maximum path sum seen so far during the traversal. This reduces the time complexity to O(n), where n is the number of nodes in the binary tree.
Minimum Area Rectangle	LeetCode 939	You are given an array of points in the X-Y plane points where points[i] = [xi, yi].  Return the minimum area of a rectangle formed from these points, with sides parallel to the X and Y axes. If there is not any such rectangle, return 0.	O(n^2)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n^2) and memory complexity of O(n)?  (**Note** this solution is not the most efficient, in a rare case :))	Hash Map + Nested Loop	Hash Map + HSO Algorithm	Sorting + Two Pointers	Set	A	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/939.%20Minimum%20Area%20Rectangle.cpp	Correct!  The solution uses a hash map to group the points by their x-coordinates, and then iterates through every pair of distinct points to check if they can form a rectangle. This involves a nested loop over all pairs of points, which results in a time complexity of O(n^2) where n is the number of points.	I made this one up!  The 'Homer Simpson Optimization Algorithm', which looks for the laziest and most inefficient solution to the problem.  Perfect for those who look at a problem and think 'Can't someone else do it?'  Not so ideal for the rest of us!	This approach involves sorting the points first by x-coordinate, and then by y-coordinate. Then, for each pair of points (p1, p2) that have the same x-coordinate, check if there exists two other points (p3, p4) with the same y-coordinate. If such points exist, calculate the area of the rectangle formed by (p1, p2, p3, p4) and update the minimum area. This approach has a time complexity of O(N^2 log N) due to sorting and is not the most efficient.	This approach involves first storing all the given points in a set of pairs. Then, for each pair of points (p1, p2), check if there exists two other points (p3, p4) such that (p1, p4) and (p2, p3) are diagonals of a rectangle. Calculate the area of the rectangle formed by (p1, p2, p3, p4) and update the minimum area. This approach has a time complexity of O(N^3) and is also not the most efficient.	Yes, a brute force approach to solve this problem could be:  Iterate through all pairs of points in the array and calculate the distance between them. Check if these two points share the same x-coordinate or y-coordinate, meaning they could be opposite corners of a rectangle. If they share a coordinate, look for two more points in the array that share the other coordinate with them and form a rectangle. Calculate the area of this rectangle and keep track of the minimum area found so far. Repeat steps 2-4 for all pairs of points in the array. Return the minimum area found. This approach has a time complexity of O(n^4), where n is the length of the input array, since it requires four nested loops to iterate through all possible pairs of points. It is not an efficient solution, but it can be a starting point for developing a more optimized algorithm.
All O'one Data Structure	LeetCode 432	Design a data structure to store the strings' count with the ability to return the strings with minimum and maximum counts.  Implement the AllOne class:  AllOne() Initializes the object of the data structure. inc(String key) Increments the count of the string key by 1. If key does not exist in the data structure, insert it with count 1. dec(String key) Decrements the count of the string key by 1. If the count of key is 0 after the decrement, remove it from the data structure. It is guaranteed that key exists in the data structure before the decrement. getMaxKey() Returns one of the keys with the maximal count. If no element exists, return an empty string "". getMinKey() Returns one of the keys with the minimum count. If no element exists, return an empty string "". Note that each function must run in O(1) average time complexity.	O(1)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(1) and memory complexity of O(n)?	Doubly-Linked List + Hash Table	A Single Hash Table	Lone Doubly-Linked List	Two Hash Tables	A	D	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/432.%20All%20O%60one%20Data%20Structure.cpp	Correct!  In this suggested solution, which is a little tricky to implement, you need to design a data structure to store key-value pairs and efficiently support the following operations in constant time: insert a new key-value pair, remove an existing key-value pair, and get a key-value pair with the maximum or minimum key.  The data structure can be implemented using a doubly linked list of "buckets" with a hash table that maps each key to its corresponding bucket. Each bucket contains a set of keys that share the same value. To support the three operations, the implementation updates the linked list and hash table accordingly, moving keys between buckets as necessary.	Incorrect!  One possible solution is to use a single hash table to store both the key-value pairs and the frequency count of each key. When a key is accessed, the frequency count is incremented and the hash table is scanned to find the key with the highest/lowest frequency count. However, this approach would require scanning the entire hash table each time a key is accessed, making it inefficient for large datasets.	Not Quite!  It's true that one could use a linked list to store the key-value pairs and the frequency count of each key. Each node in the linked list would contain a key, a value, and a frequency count. When a key is accessed, its frequency count is incremented and the linked list is scanned to find the key with the highest/lowest frequency count. However, this approach would require scanning the entire linked list each time a key is accessed - this makes it inefficient for large datasets.	It is possible to use two separate hash tables to store the key-value pairs and the frequency count of each key. When a key is accessed, the frequency count is incremented and the hash table with the frequency counts is scanned to find the key with the highest/lowest frequency count. While this approach is quite efficient, it still requires scanning the entire frequency count hash table each time a key is accessed.  However, in the worst case, all keys could have the same hash code, and the hash table could end up having all keys collide in the same bucket, resulting in O(n) time complexity for accessing an element in the hash table. However, this is a rare case, and the hash table data structure has been designed to minimize collisions, making the expected time complexity O(1) for most cases.	One possible brute force approach for implementing the AllOne data structure is to use two hash maps, one to store the count of each string and another to store the set of strings for each count. Here are the steps for each operation:  Initialization: Initialize both hash maps to empty.  Increment (inc): If the key is not in the count map, add it with count 1. If it's already in the count map, increment its count. Then, remove the key from the set corresponding to the old count (if it exists) and add it to the set corresponding to the new count.  Decrement (dec): Decrement the count of the key in the count map. If the count becomes 0, remove the key from the count map and from the set corresponding to its old count. If the count is positive, remove the key from the set corresponding to the old count and add it to the set corresponding to the new count.  Get maximum key (getMaxKey): Return one of the keys in the set corresponding to the maximum count (which can be found in constant time by keeping track of the maximum count).  Get minimum key (getMinKey): Return one of the keys in the set corresponding to the minimum count (which can be found in constant time by keeping track of the minimum count).  This approach has a time complexity of O(1) for all operations on average, as required by the problem statement. However, it requires O(n) space in the worst case, where n is the number of distinct strings that have been inserted into the data structure.
LRU Cache	LeetCode 146	Design a data structure that follows the constraints of a Least Recently Used (LRU) cache.  Implement the LRUCache class:  LRUCache(int capacity) Initialize the LRU cache with positive size capacity. int get(int key) Return the value of the key if the key exists, otherwise return -1. void put(int key, int value) Update the value of the key if the key exists. Otherwise, add the key-value pair to the cache. If the number of keys exceeds the capacity from this operation, evict the least recently used key. The functions get and put must each run in O(1) average time complexity.	O(1)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(1) and memory complexity of O(n)? (For the get and put functions.  N.B. there are alternative 'better' approaches to investigate for this famous interview problem!)	It's possible to achieve O(1) with a Linear Search!	Doubly-Linked List and Unordered Map	One Simple Hash Table	Make use of a simple pair of Arrays (one to store the key-value pairs, another to store timestamps of the key-value pair).  We can use 'lazy deletion' to achieve O(1) complexity	B	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/146.%20LRU%20Cache.cpp	Hmm…not really!  The idea is to store the timestamp of each key-value pair in a separate hash table, and then perform a linear search over it to find the least recently used element when the cache is full. However, this approach would also have a time complexity of O(n) for both get and put operations, where n is the number of elements in the cache, making it unsuitable for high-performance systems. 	Correct!  One implementation can maintain a doubly linked list to keep track of the order in which the elements were accessed, with the most recently accessed element at the front and the least recently accessed element at the back. It also could use an unordered map to store key-value pairs - and keep the corresponding iterators in the doubly linked list.	Incorrect!   This would simply use a hash table to store the key-value pairs, but comes without any mechanism to track the order in which the elements were accessed. This would make it impossible to determine the least recently used element when the cache is full, and the implementation would require a linear scan of the hash table to evict an element. As a result, this approach would also have a time complexity of O(n) for both get and put operations, where n is the size of the hash table.	Incorrect!  It's true that one approach could be to use an array to store the key-value pairs, with a separate array to store the timestamps of each key-value pair. However, this approach would require a linear search over the timestamp array to find the least recently used element when the cache is full, resulting in a time complexity of O(n) for the eviction operation.  There's no way to do an O(1) 'lazy deletion' for this, sorry!	Here, my own suggested implementation is almost identical to the Brute Force approach…my apologies!
LFU Cache	LeetCode 460	Design and implement a data structure for a Least Frequently Used (LFU) cache. Implement the LFUCache class:  LFUCache(int capacity) Initializes the object with the capacity of the data structure. • int get(int key) Gets the value of the key if the key exists in the cache. Otherwise, returns -1. • void put(int key, int value) Update the value of the key if present, or inserts the key if not already present. When the cache reaches its capacity, it should invalidate and remove the least frequently used key before inserting a new item. For this problem, when there is a tie (i.e., two or more keys with the same frequency), the least recently used key would be invalidated. To determine the least frequently used key, a use counter is maintained for each key in the cache. The key with the smallest use counter is the least frequently used key. When a key is first inserted into the cache, its use counter is set to 1 (due to the put operation). The use counter for a key in the cache is incremented either a get or put operation is called on it. The functions get and put must each run in O(1) average time complexity.	O(1)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(1) and memory complexity of O(n)?	Sorted List Approach	Frequency Counting Approach	Hash Table + Min-Heap	Hash Table + Doubly Linked List	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/460.%20LFU%20Cache.cpp	This CAN be a correct implementation of the LFU cache, but a sorted list results in O(n) time complexity for both get and put operations, violating the O(1) time complexity requirement!	Incorporate separate counters that tell us the frequency of use AND time of last access for each key in the cache  This requires additional space complexity, and can result in incorrect behavior when there is a tie between keys with the same frequency	Not quite!    Use a hash table to store the key-value pairs, and a min-heap to keep track of the least frequently used entries.  Each entry in the min-heap is a key-value pair, along with its frequency of use This approach would have O(log n) complexity for accessing and updating the min-heap.  When a key is accessed or updated, update its frequency of use in the hash table and update its position in the min-heap. When a new key is inserted, add it to the hash table with a frequency of 1 and insert it into the min-heap. When the cache reaches its capacity, evict the least frequently used key by removing it from the min-heap and hash table.	Correct!  Each node in the linked list can stores a frequency, and a LIST of keys with that frequency.  When a key is accessed (via get or put), its frequency is incremented, and it is moved to the correct position in the linked list.  When the cache reaches its capacity, the least frequently used key is removed from the linked list and the hash table.  This yields an O(1) approach for both get and put operations	In this case, my own implementation for this problem is ALSO the Brute Force approach.  No futher hints…
